title,company,location,salary_min,salary_max,avg_salary,description,created,category,skill_count
S&C GN - Data&AI - Resources - Analyst,Accenture,"hyderabad, telangana",500000.0,1000000.0,750000.0,"This job is with Accenture, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. TBD Qualifications: TBD",2026-07-23T22:17:13Z,HR & Recruitment Jobs,0
Customer Experience Manager,NR Consulting,"bangalore, karnataka",500000.0,1000000.0,750000.0,"Job Description:- Manager / Senior Manager – Customer & Marketing Analytics Location: India As a Manager/Senior Manager, you will: 1. Work with clients leading marketing & customer roles at Fortune 100 Retailers 2. Work closely with stakeholders across the organization to gather requirements and understand the underlying business problems. Serve as the bridge between business needs and analytical solutions. 3. Collaboratively work with leadership and SMEs to create innovative solutions for busi…",2026-07-22T22:52:54Z,IT Jobs,0
Senior Process Analyst - Celonis,Springer Nature,"pune, maharashtra",500000.0,1000000.0,750000.0,"This job is with Springer Nature, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Title: Senior Process Analyst (Celonis) Location(s): Pune Application Deadline: NA About Springer Nature Springer Nature is one of the leading publishers of research in the world. We publish the largest number of journals and books and are a pioneer in open research. Through our leading brands, trusted f…",2026-07-03T00:54:29Z,IT Jobs,0
Data Analyst,Not Specified,"thiruvananthapuram, kerala",500000.0,1000000.0,750000.0,Immediate requirement for the post of Data Analyst on rotation Shift (Male or Female). Persons only willing to work in both shifts need to apply.careers.coretechgmail.comorplease contact 9.4.nine.6.8.1.5.6.3.0,2024-05-10T07:38:46Z,IT Jobs,0
Data Analyst,SkySun,india,500000.0,1000000.0,750000.0,"Role Overview We are looking for a Data Analyst with strong expertise in Microsoft Excel who can efficiently work with large datasets, formulas, and analytical models. The ideal candidate should be able to transform raw data into meaningful insights , build efficient spreadsheets, and support business decisions through structured analysis and reporting. This role requires someone who is highly detail-oriented, analytical, and extremely efficient in Excel-based data handling. Key Responsibilitie…",2026-03-27T13:39:38Z,IT Jobs,1
Data Analyst,LRN Corporation,india,500000.0,1000000.0,750000.0,"Position: Data Analyst Location: Mumbai, India About LRN: LRN is the world’s leading dedicated ethics and compliance SaaS company, helping more than 30 million people every year navigate complex regional and global regulatory environments and build ethical, responsible cultures. With over 3,000 clients across the US, EMEA, APAC, and Latin America—including some of the world’s most respected and successful brands—we’re proud to be the long-term partner trusted to reduce organizational risk and d…",2026-04-09T01:03:12Z,IT Jobs,0
Data Analyst,Cloudester Software LLP,"sevasi, vadodara",500000.0,1000000.0,750000.0,"We are looking for a Data Analyst with 2–3 years of experience for a 3-month contract . You will be responsible for extracting web data, organizing it in Excel, and communicating findings clearly to our team. Role Details Duration: 3 Months Experience Required: 2–3 years Location: Vadodara Key Responsibilities Extract data from various websites using web scraping tools. Clean, organize, and analyze the collected datasets. Write database queries to pull and manage information. Present data findi…",2026-07-09T02:21:15Z,IT Jobs,1
Data Analyst,Rentomojo,"bangalore, karnataka",600000.0,900000.0,750000.0,"About the Role Data Analyst 2 to 5 years Full Time We are hiring a sharp, analytically rigorous Data Analyst who thrives at the intersection of data engineering, automation, and business storytelling. This is not a pure reporting role. You will architect automated data pipelines, build scalable reporting workflows, and bring a growth marketing mindset to every analysis. If you love turning messy data into clear decisions, this is your seat. Key Responsibilities SQL and Data Infrastructure Desig…",2026-06-11T06:21:45Z,IT Jobs,1
Data Analyst,Weekday AI,india,500000.0,1000000.0,750000.0,"This role is for one of Weekday’s clients Min Experience: 1 years Location: Nagpur JobType: full-time We're looking for a Data Analyst who is adaptable, quick to learn, and comfortable working across multiple projects and business functions. Unlike a dedicated role tied to one domain, this position will rotate/support across different projects as business priorities shift, making it ideal for someone who's curious, eager to build breadth, and thrives in a dynamic environment. Requirements Key R…",2026-07-10T15:19:19Z,IT Jobs,0
Data Analyst,Proof of Skill,"andheri, mumbai",1200000.0,1200000.0,1200000.0,"Analyzing hiring and candidate data to improve decision-making, shortlisting, and overall system efficiency. Skills: Logical/analytical thinking, Excel/Google Sheets, basic SQL, data interpretation, data visualization, attention to detail. Responsibilities: Analyze candidate and hiring data, build dashboards and reports, improve shortlisting/scoring systems, track hiring funnel metrics, work with ops/product teams, ensure data accuracy. This is a remote position.",2026-07-03T06:18:29Z,IT Jobs,4
